City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Tieli,CN,2021-11-07 01:06:39,46.95,128.05,23.63,27,97,3.47
254,Geraldton,AU,2021-11-07 01:06:39,-28.7667,114.6,68.41,45,0,18.41
255,San Vicente,AR,2021-11-07 01:06:39,-26.6167,-54.1333,65.66,90,88,6.15
256,Cachoeiras De Macacu,BR,2021-11-07 01:02:13,-22.4625,-42.6531,67.35,89,93,0.87
257,Cooma,AU,2021-11-07 01:06:40,-36.2333,149.1333,68.16,65,36,7.2
258,Christchurch,NZ,2021-11-07 01:06:41,-43.5333,172.6333,64.47,76,90,8.01
259,Lokosovo,RU,2021-11-07 01:06:41,61.1333,74.8167,33.93,92,100,14.63
260,Seoul,KR,2021-11-07 01:02:09,37.5683,126.9778,58.44,53,8,4.47
261,Shahganj,IN,2021-11-07 01:06:42,26.05,82.6833,60.71,59,13,4.5
262,Cerrito,CO,2021-11-07 01:06:42,6.8432,-72.694,51.19,89,77,4.85
263,Qaqortoq,GL,2021-11-07 01:06:43,60.7167,-46.0333,25.3,70,100,8.28
264,Wanning,CN,2021-11-07 01:06:43,18.8003,110.3967,79.09,76,85,3.65
265,Mackay,AU,2021-11-07 01:06:44,-21.15,149.2,86.68,60,85,12.24
266,Ponta Do Sol,PT,2021-11-07 01:06:44,32.6667,-17.1,68.63,69,36,8.41
267,Caetite,BR,2021-11-07 01:05:41,-14.0694,-42.475,68.94,88,87,3.38
268,Puerto Palomas,MX,2021-11-07 01:06:45,31.7667,-107.6167,70.93,21,0,7.45
269,Galle,LK,2021-11-07 01:07:46,6.0367,80.217,77.23,90,98,15.43
270,Ramon Castilla,PE,2021-11-07 01:07:46,-4.2569,-69.9594,74.16,99,100,1.95
271,Malazgirt,TR,2021-11-07 01:07:46,39.1427,42.5401,40.78,67,0,3.49
272,Seabra,BR,2021-11-07 01:07:47,-12.4186,-41.7703,67.84,95,81,1.05
273,Bandarbeyla,SO,2021-11-07 01:07:47,9.4942,50.8122,75.25,79,29,10.0
274,Trogir,HR,2021-11-07 01:07:48,43.5125,16.2517,63.57,88,0,4.61
275,Lixourion,GR,2021-11-07 01:07:48,38.2019,20.4314,71.22,53,100,4.18
276,Puerto Carreno,CO,2021-11-07 01:07:49,6.189,-67.4859,80.01,77,100,3.74
277,Jasper,US,2021-11-07 01:07:49,37.2001,-94.3502,53.98,72,1,3.44
278,Banes,CU,2021-11-07 01:07:49,20.9625,-75.7186,77.61,84,100,2.37
279,Grindavik,IS,2021-11-07 01:07:50,63.8424,-22.4338,36.07,80,40,12.66
280,Kuandian,CN,2021-11-07 01:07:50,40.7286,124.7847,44.1,75,100,4.43
281,Falesti,MD,2021-11-07 01:07:51,47.5736,27.7092,40.46,69,100,2.37
282,Buchanan,LR,2021-11-07 01:07:51,5.8808,-10.0467,76.51,90,100,4.32
283,Camacha,PT,2021-11-07 01:07:52,33.0833,-16.3333,65.16,63,40,18.41
284,Egvekinot,RU,2021-11-07 01:07:52,66.3167,-179.1667,-9.17,92,60,2.91
285,Roermond,NL,2021-11-07 01:07:53,51.1833,5.9833,51.39,85,100,7.0
286,Tiksi,RU,2021-11-07 01:07:53,71.6872,128.8694,-0.35,87,100,15.19
287,Sao Jose Da Coroa Grande,BR,2021-11-07 01:07:54,-8.8978,-35.1478,78.35,87,26,10.0
288,Aykhal,RU,2021-11-07 01:07:54,66.0,111.5,4.64,94,100,16.13
289,Grand Forks,US,2021-11-07 01:04:45,47.9417,-97.4337,46.58,72,1,9.22
290,Sao Pedro Da Cadeira,PT,2021-11-07 01:07:55,39.0698,-9.3717,53.24,85,4,10.0
291,Vorontsovka,RU,2021-11-07 01:07:55,50.6132,40.3549,41.04,86,1,9.1
